# UCF PHZ 3150 HW 12 Problem 1 Data
#    wavl1     spec1       wavl2     spec2 
#      nm    W/m^2/nm        nm    W/m^2/nm
#    _____   ________      _____   ________
# 
     1.000      0.000      1.004      0.000
     1.010      0.000      1.014      0.000
     1.020      0.000      1.024      0.000
     1.030      0.000      1.034      0.000
     1.040      0.000      1.044      0.000
     1.050      0.000      1.054      0.000
     1.060      0.000      1.064      0.000
     1.070      0.000      1.074      0.000
     1.080      0.000      1.084      0.000
     1.090      0.000      1.094      0.000
     1.100      0.000      1.104      0.000
     1.110      0.000      1.114      0.000
     1.120      0.000      1.124      0.000
     1.130      0.000      1.134      0.001
     1.140      0.001      1.144      0.002
     1.150      0.005      1.154      0.008
     1.160      0.015      1.164      0.024
     1.170      0.046      1.174      0.070
     1.180      0.128      1.184      0.188
     1.190      0.327      1.194      0.465
     1.200      0.770      1.204      1.060
     1.210      1.671      1.214      2.228
     1.220      3.345      1.224      4.316
     1.230      6.171      1.234      7.705
     1.240     10.490      1.244     12.678
     1.250     16.436      1.254     19.226
     1.260     23.737      1.264     26.876
     1.270     31.600      1.274     34.635
     1.280     38.789      1.284     41.164
     1.290     43.933      1.294     45.161
     1.300     45.978      1.304     45.827
     1.310     44.606      1.314     43.202
     1.320     40.398      1.324     38.199
     1.330     34.662      1.334     32.296
     1.340     28.974      1.344     27.026
     1.350     24.651      1.354     23.479
     1.360     22.354      1.364     21.999
     1.370     21.959      1.374     22.177
     1.380     22.708      1.384     23.094
     1.390     23.556      1.394     23.702
     1.400     23.566      1.404     23.200
     1.410     22.212      1.414     21.271
     1.420     19.490      1.424     18.106
     1.430     15.834      1.434     14.252
     1.440     11.880      1.444     10.354
     1.450      8.222      1.454      6.937
     1.460      5.246      1.464      4.284
     1.470      3.086      1.474      2.439
     1.480      1.673      1.484      1.280
     1.490      0.836      1.494      0.619
     1.500      0.385      1.504      0.276
     1.510      0.164      1.514      0.114
     1.520      0.066      1.524      0.046
     1.530      0.029      1.534      0.024
     1.540      0.024      1.544      0.030
     1.550      0.046      1.554      0.065
     1.560      0.110      1.564      0.154
     1.570      0.254      1.574      0.349
     1.580      0.554      1.584      0.744
     1.590      1.137      1.594      1.489
     1.600      2.191      1.604      2.799
     1.610      3.967      1.614      4.944
     1.620      6.749      1.624      8.202
     1.630     10.785      1.634     12.783
     1.640     16.190      1.644     18.716
     1.650     22.831      1.654     25.742
     1.660     30.246      1.664     33.261
     1.670     37.642      1.674     40.372
     1.680     44.008      1.684     46.034
     1.690     48.334      1.694     49.310
     1.700     49.868      1.704     49.619
     1.710     48.334      1.714     46.905
     1.720     44.008      1.724     41.653
     1.730     37.642      1.734     34.748
     1.740     30.246      1.744     27.232
     1.750     22.831      1.754     20.048
     1.760     16.190      1.764     13.865
     1.770     10.785      1.774      9.008
     1.780      6.749      1.784      5.498
     1.790      3.967      1.794      3.152
     1.800      2.191      1.804      1.698
     1.810      1.137      1.814      0.859
     1.820      0.554      1.824      0.408
     1.830      0.254      1.834      0.182
     1.840      0.109      1.844      0.076
     1.850      0.044      1.854      0.030
     1.860      0.017      1.864      0.011
     1.870      0.006      1.874      0.004
     1.880      0.002      1.884      0.001
     1.890      0.001      1.894      0.000
     1.900      0.000      1.904      0.000
     1.910      0.000      1.914      0.000
     1.920      0.000      1.924      0.000
     1.930      0.000      1.934      0.000
     1.940      0.000      1.944      0.000
     1.950      0.000      1.954      0.000
     1.960      0.000      1.964      0.000
     1.970      0.000      1.974      0.000
     1.980      0.000      1.984      0.000
     1.990      0.000      1.994      0.000
     2.000      0.000      2.004      0.000
