# UCF PHZ 3150 HW 12 Problem 3 Data
#        x         y1     sigma1         y2     sigma2
#        _         __     ______         __     ______
# 
     0.000      3.218      0.100     -1.796      0.100
     0.067      3.200      0.100     -1.779      0.100
     0.133      3.148      0.100     -1.918      0.100
     0.200      3.086      0.100     -1.705      0.100
     0.267      2.777      0.100     -1.774      0.100
     0.333      2.638      0.100     -1.511      0.100
     0.400      2.678      0.100     -1.426      0.100
     0.467      2.525      0.100     -1.441      0.100
     0.533      2.477      0.100     -1.307      0.100
     0.600      2.680      0.100     -1.298      0.100
     0.667      2.412      0.100     -1.283      0.100
     0.733      2.416      0.100     -1.055      0.100
     0.800      2.476      0.100     -1.115      0.100
     0.867      2.436      0.100     -0.714      0.100
     0.933      2.648      0.100     -0.704      0.100
     1.000      2.641      0.100     -0.557      0.100
     1.067      2.744      0.100     -0.718      0.100
     1.133      2.447      0.100     -0.397      0.100
     1.200      2.736      0.100     -0.624      0.100
     1.267      2.834      0.100     -0.585      0.100
     1.333      2.870      0.100     -0.209      0.100
     1.400      2.993      0.100     -0.088      0.100
     1.467      3.168      0.100     -0.058      0.100
     1.533      3.214      0.100     -0.045      0.100
     1.600      3.481      0.100      0.015      0.100
     1.667      3.499      0.100      0.183      0.100
     1.733      3.831      0.100      0.190      0.100
     1.800      4.000      0.100      0.305      0.100
     1.867      4.069      0.100      0.356      0.100
     1.933      4.258      0.100      0.595      0.100
     2.000      4.352      0.100      0.547      0.100
